Country,juror_A,juror_B,juror_C,juror_D,juror_E,act,night,city,year
NorthMacedonia,14,16,13,2,4,australia,second-semi-final,stockholm,2016
Norway,1,8,16,7,5,australia,second-semi-final,stockholm,2016
Poland,17,17,10,16,14,australia,second-semi-final,stockholm,2016
Serbia,5,11,8,12,7,australia,second-semi-final,stockholm,2016
Slovenia,7,5,6,9,15,australia,second-semi-final,stockholm,2016
Switzerland,9,9,11,11,9,australia,second-semi-final,stockholm,2016
Ukraine,11,10,14,10,8,australia,second-semi-final,stockholm,2016
Albania,11,7,17,12,9,belarus,second-semi-final,stockholm,2016
Australia,4,1,1,4,2,belarus,second-semi-final,stockholm,2016
Belgium,1,3,3,2,1,belarus,second-semi-final,stockholm,2016
